Problem Name	00intro2	13ABDE	14FIRE	15LEAF	16ROFL	17JKLM	18ABC	19SPIN	20LAND	21SKW	22EVO	23NEAT	24MILKCUKI	25FROG	26GHI	27SALT	28RHOM
%(Ans4c_hint3)%	-	-	-	-	"45 sq. cm is the value of the area. Note that it's unit is ""sq. cm"" instead of just ""cm""."	"96 sq. in is the value of the area. Note that it's unit is ""sq. in"" instead of just ""in""."	-	"The area (A) of the parallelogram SPIN can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"	"The area (A) of the parallelogram LAND can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"	-	-	"The label under ""Height"" is MN. Do you remember how long the segment MN is? Read the problem statement again if you forgot. "	-	"Re-read the question statement to find how long FR is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	-	"4.2 sq. mm is the value of the area. Note that it's unit is ""sq. mm"" instead of just ""mm""."	-
%(Ans4c_hint4)%	-	-	-	-	"Enter ROFL's area, 45."	"Enter JKLM's area, 96."	-	"<%=ifThen(hasValue(question3a,question3b),concat(""All you have to do is multiply the length of the base ("",question2a,"" = 6.6) by the height ("",question2b,"" = 2.5). Therefore, A = 6.6 * 2.5!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(question3a,question3b),concat(""All you have to do is multiply the length of the base ("",question2a,"" = 9) by the height ("",question2b,"" = 12). Therefore, A = 9 * 12!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	-	-	The height (MN) is 6 centimeters long.	-	"<%=ifThen(regExMatch(""FR|RF"",question0c), ""Base #2 (FR) is 2 inches long. Enter 2 into the highlighted area."",concat(""Question3 has given you OG = 2. Since "",question0c,"" is parallel to OG, "",question0c,"" = 2 as well.""))%>"	-	"Enter SALT's area, 4.2."	-
%(Ans4d_hint1)%	-	-	-	-	-	-	-	-	-	-	-	The perimeter is the sum of the lengths of all the sides of a geometry. What is the perimeter of NEAT in Question3?	-	"You are looking for the length of the height, BG, which is height #2. <%=ifThen(hasValue(question3d,question3e),""You can find the height(h), if the base(b) and the area(A) is given! Just remember that area (A) = 'base' * 'height'"",""What do you need to know in order to solve for the unknown height?"")%>"	-	-	-
%(Ans4d_hint2)%	-	-	-	-	-	-	-	-	-	-	-	Read Question3 carefully. The length of the perimeter of the parallelogram NEAT is already given. 	-	"<%=ifThen(hasValue(question3c,question3e),""Your situation is 'Area' = 'base' * '?' where the height is represented as '?'. Solve for the height by dividing the area by the base! But which base should you use? Base #1 or base #2?"",""Are you sure you are ready to answer this part?"")%>"	-	-	-
%(Ans4d_hint3)%	-	-	-	-	-	-	-	-	-	-	-	"In Question3, the parallelogram's perimeter is given as 40 cm."	-	"<%=ifThen(hasValue(question3c,question3e),""You are solving for BG, which is height #2. You should use the base that is perpendicular to height #2."",""In order to solve for the height, you need to know the base(b) and the area(A) first. Have you filled out the length of the base and the value of the area yet?"")%>"	-	-	-
%(Ans4d_hint4)%	-	-	-	-	-	-	-	-	-	-	-	"Enter the length of NEAT's perimeter, 40 into the highlighted area."	-	"<%=ifThen(hasValue(question3c,question3e),concat(""Height #2 is perpendicular to base #2, which is labeled as "",question0c,"". Solve for height #2 (BG) by dividing the length of base #2 by the area: 7/2 = 3.5.""),""Make sure both the length of the base and the value of the area is filled before coming back to this field!"")%>"	-	-	-
%(Ans4e_hint1)%	-	-	-	-	-	-	-	-	-	-	-	"Do you know how to find an area of the parallelogram? If you are not sure, try finding the formula in the glossary. "	-	"Open the glossary and search for ""Area - Parallelogram"" if you are not sure how to find area of a parallelogram."	-	-	-
%(Ans4e_hint2)%	-	-	-	-	-	-	-	-	-	-	-	"Open the glossary and search for ""Area - Parallelogram"". "	-	"The area (A) of the paralleogram FROG can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". You know the lengths of both of the 2 heights in this question. Which height should you use to find the area of FROG?"	-	-	-
%(Ans4e_hint3)%	-	-	-	-	-	-	-	-	-	-	-	"The area (A) of the parallelogram NEAT can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"	-	"<%=ifThen(hasValue(question3a,question3b),concat(""You only know the length of one height, and that is "",question3b,"". That means you must use the base perpendicular to "",question3b,"" to calculate the area!""),""Are you sure you are ready to do this part?"")%>"	-	-	-
%(Ans4e_hint4)%	-	-	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(question3a,question3c),concat(""All you have to do is multiply the length of the base ("",question0a,"" = 16.5) by the height (MN = 6). Therefore, A = 16.5 * 6!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	-	"<%=ifThen(hasValue(question3a,question3b),concat("""",question3b,"" is height #1, which is perpendicular to base #1, RO. Multiply the lengths of base #1 and height #1 together to get the area. A = 5 * 1.4."")),""Looks like you are missing some lengths you need to know in order to calculate the area. Fill in the rest of this row and come back to this field!"")%>"	-	-	-

%(q1-gloss-h1)%	-	-	-	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	 Look up the area formula in the glossary if you need help.	"Open the glossary and search for ""Area - Parallelogram"" if you are not sure how to find area of a parallelogram."	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary."
%(q1-gloss-h2)%	-	-	-	"Open the glossary and search for ""Area - Parallelogram"". "	"Open the glossary and search for ""Area - Parallelogram"". "	"Open the glossary and search for ""Area - Parallelogram"". "	"Open the glossary and search for ""Area - Triangle"". "	"Open the glossary and search for ""Area - Parallelogram"". "	"Open the glossary and search for ""Area - Parallelogram"". "	"Open the glossary and search for ""Area - Triangle"". "	"Open the glossary and search for ""Area - Triangle"". "	"Open the glossary and search for ""Area - Parallelogram"". "	"Open the glossary and search for ""Area - Parallelogram"". "	-	"Open the glossary and search for ""Area - Triangle"". "	"Open the glossary and search for ""Area - Parallelogram"". "	"Open the glossary and search for ""Area - Parallelogram"". "

%(goodjob)%	-	Good job!	Good job!	Good job!	Good job!	"Well done. You did a good job finding parallelogram's height, even if it was not vertical!"	Good job!	Great job! See how the area calculates out to be the same. Parallelogram's area can be calculated using two different heights.	Well done! You chose correct heights for different bases.	Good job!	Good job! 	Neat! You did very well calculating the missing values for the parallelogram.	Good job!	Well done! You chose correct heights for different bases.	Good job!	Good job!	Great job understanding the rhombus!

%(Q0_a_name)%	-	idenBaseSeg	idenBaseSeg	-	-	idenBaseSeg	-	-	idenBaseSeg	-	idenBaseSeg	-	idenBaseSeg	-	idenBaseSeg	idenBaseSeg	-
%(Q0_a_label)%	-	Identify base segment	Identify base segment	-	-	Identify base segment	-	-	Identify base segment	-	Identify base segment	-	Identify base segment	-	Identify base segment	Identify base segment	-
%(Q0_b_name)%	-	idenAdjcSeg	idenAdjcSeg	-	-	idenHeightSeg	-	-	idenHeightSeg	idenHeightSeg	idenHeightSeg	-	idenHeightSeg	idenHeightSeg	idenHeightSeg	idenHeightSeg	-
%(Q0_b_label)%	-	Identify segment adjacent to the base	Identify segment adjacent to the base	-	-	Identify height segment	-	-	Identify height segment	Identify height segment	Identify height segment	-	Identify height segment	Identify height segment	Identify height segment	Identify height segment	-
%(Q0_c_name)%	-	idenBaseSeg	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Q0_c_label)%	-	Identify base segment	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Q0_d_name)%	-	idenAdjcSeg	-	-	-	-	-	-	-	-	-	-	-	idenHeightSeg	-	-	-
%(Q0_d_label)%	-	Identify segment adjacent to the base	-	-	-	-	-	-	-	-	-	-	-	Identify height segment	-	-	-

%(Q1_a_name)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Q1_a_label)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Q1_b_name)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Q1_b_label)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Q1_c_name)%	-	-	FindPerimeterPara	FindAreaPara	FindAreaPara	FindAreaPara	FindAreaTri	FindAreaPara	FindAreaPara	FindAreaTri	FindAreaTri	-	-	-	FindAreaPara	FindAreaPara	FindPerimeterPara
%(Q1_c_label)%	-	-	Find perimeter of a parallelogram	Find area of a parallelogram	Find area of a parallelogram	Find area of a parallelogram	Find area of a triangle	Find area of a parallelogram	Find area of a parallelogram	Find area of a triangle	Find area of a triangle	-	-	-	Find area of a parallelogram	Find area of a parallelogram	Find perimeter of a parallelogram
%(Q1_d_name)%	-	-	-	-	-	-	-	-	-	-	-	FindPerimeterPara	SolvHeight	-	-	-	FindAreaPara
%(Q1_d_label)%	-	-	-	-	-	-	-	-	-	-	-	Find perimeter of a parallelogram	Solve for height	-	-	-	Find area of a parallelogram
%(Q1_e_name)%	-	FindPerimeterPara	-	-	-	-	-	-	-	-	-	FindAreaPara	-	FindAreaPara	-	-	-
%(Q1_e_label)%	-	Find perimeter of a parallelogram	-	-	-	-	-	-	-	-	-	Find area of a parallelogram	-	Find area of a parallelogram	-	-	-

%(Q2_a_name)%	-	IdenExp	IdenExp	-	-	-	-	idenBaseSeg	idenBaseSeg	-	-	-	-	-	-	-	-
%(Q2_a_label)%	-	Identify expression for a segment	Identify expression for a segment	-	-	-	-	Identify base segment	Identify base segment	-	-	-	-	-	-	-	-
%(Q2_b_name)%	-	IdenExp	IdenExp	-	SolvHeight	SolvHeight	-	idenHeightSeg	idenHeightSeg	-	-	-	-	-	-	SolvHeight	-
%(Q2_b_label)%	-	Identify expression for a segment	Identify expression for a segment	-	Solve for height	Solve for height	-	Identify height segment	Identify height segment	-	-	-	-	-	-	Solve for height	-
%(Q2_c_name)%	-	IdenExp	IdenExpPerimeter	-	-	-	-	-	-	-	-	SolvHeight	-	SolvBase	-	-	-
%(Q2_c_label)%	-	Identify expression for a segment	Identify expression for the perimeter	-	-	-	-	-	-	-	-	Solve for height	-	Solve for base	-	-	-
%(Q2_d_name)%	-	IdenExp	-	-	-	-	-	-	-	-	-	FindPerimeterPara	SolvHeight	-	-	-	-
%(Q2_d_label)%	-	Identify expression for a segment	-	-	-	-	-	-	-	-	-	Find perimeter of a parallelogram	Solve for height	-	-	-	-
%(Q2_e_name)%	-	IdenExpPerimeter	-	-	-	-	-	-	-	-	-	-	FindAreaPara	-	-	-	-
%(Q2_e_label)%	-	Identify expression for the perimeter	-	-	-	-	-	-	-	-	-	-	Find area of a parallelogram	-	-	-	-

%(Q3_a_name)%	-	-	-	-	SolvBase	SolvBase	-	-	-	-	-	SolvBase	-	-	-	SolvBase	-
%(Q3_a_label)%	-	-	-	-	Solve for base	Solve for base	-	-	-	-	-	Solve for base	-	-	-	Solve for base	-
%(Q3_b_name)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Q3_b_label)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Q3_c_name)%	-	-	-	-	-	-	-	FindAreaPara	FindAreaPara	-	-	-	-	-	-	-	-
%(Q3_c_label)%	-	-	-	-	-	-	-	Find area of a parallelogram	Find area of a parallelogram	-	-	-	-	-	-	-	-
%(Q3_d_name)%	-	-	-	-	-	-	-	-	-	-	-	-	-	SolvHeight	-	-	-
%(Q3_d_label)%	-	-	-	-	-	-	-	-	-	-	-	-	-	Solve for height	-	-	-
%(Q3_e_name)%	-	-	-	-	-	-	-	-	-	-	-	FindAreaPara	-	-	-	-	-
%(Q3_e_label)%	-	-	-	-	-	-	-	-	-	-	-	Find area of a parallelogram	-	-	-	-	-
%(7137235941890575246)%	-	-	Write an expression that represents the length of the side adjacent to the base into the highlighted field.	-	"You can find the height if the base (b) and the area (A) are given! Remember that the area (A) of a parallelogram can be found by calculating ""base"" * ""height""."	"You can find the height if the base (b) and the area (A) are given! Remember that the area (A) of a parallelogram can be found by calculating ""base"" * ""height""."	-	"There are two possible heights in this problem. But in this case, you should choose the height with a known length!  "	"There are two possible heights in this problem. Your partner only measured AL, so you should find the height that is perpendicular to AL."	-	-	Enter the length of the segment that is adjacent to the base. Not sure which segment this is? What is the label of the segment you are looking for?	"<%=ifThen(hasValue(question0b),""Enter the length of MILK's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of MILK's height here."")%>"	"<%=ifThen(hasValue(question0b),""Enter the length of the parallelogram's height #1 here. You entered the correct label for height #1, so enter that segment's length here."",""Enter the length of the parallelogram's height #1 here."")%>"	-	"You can find the height if the base (b) and the area (A) are given! Remember that the area (A) of a parallelogram can be found by calculating ""base"" * ""height""."	-
%(-3741766123344482753)%	-	"Re-read Question1 to find how long AB is. If you don't see it in the question statement, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"Re-read Question1 to find how long FI is. If you don't see it in the question statement, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"The label under ""Height of LEAF"" is %(Ans1_b)%. Do you remember how long the segment %(Ans1_b)% is? Read the problem statement again if you forgot. "	"The label under ""Height of ROFL"" is %(Ans1_b)%. Do you remember how long the segment %(Ans1_b)% is? Read the problem statement again if you forgot. "	"<%=ifThen(hasValue(question0b),concat(""The label you entered under 'Height of JKLM' is "",question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	"The label under ""Height of ABC"" is %(Ans1_b)%. Do you remember how long the segment %(Ans1_b)% is? Read the problem statement again if you are not sure."	"The label under ""Only known Height for SPIN"" is %(Ans1_b)%. Do you remember how long the segment %(Ans1_b)% is? Read the problem statement again if you forgot. "	"<%=ifThen(hasValue(question0b),concat(""The label you entered under 'Height of LAND' is "",question0b,"". How long is this segment?""),""The only side measured by your partner is %(trgtBase1)%, so that is the base. Which height is perpendicular to %(trgtBase1)%? Note that, in a parallelogram, a parallel pair of segments is perpendicular to the same height in between them."")%>"	"<%=ifThen(hasValue(question0b),concat(""The label you entered under 'Height of SKW' is "",question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	"<%=ifThen(hasValue(question0b),concat(""The label you entered under 'Height of EVO' is "",question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	"Re-read Question1 to find how long NE is. If you don't see it in the question statement, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(question0b),concat(""The label you entered under 'Height of MILK' is "",question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	"<%=ifThen(hasValue(question0b),concat(""The label you entered under 'Height #1 (perpend. to base 1)' is "",question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, RO and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	"<%=ifThen(hasValue(question0b),concat(""The label you entered under 'Height of GHI' is "",question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	"<%=ifThen(hasValue(question0b),concat(""The label you entered under 'Height of SALT' is "",question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	"The label under ""Height of RHOM"" is %(Ans1_b)%. Do you remember how long the segment %(Ans1_b)% is? Read the problem statement again if you forgot. "
%(-6901952857503427095)%	-	-	Write an expression that represents the length of the base into the highlighted field.	-	"Enter the length of the parallelogram's base here. Not sure which segment that is the base? What is the label under ""Base of ROFL""?"	"<%=ifThen(hasValue(question0a),""Enter the length of the parallelogram's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram's base here."")%>"	-	"On a parallelogram, ANY side can be a ""base"" as long as it is perpendicular to a height. But in this case, you should choose a base that is perpendicular to a height with a known length! "	"Did you know? On a parallelogram, ANY side can be a ""base"" as long as it is perpendicular to a height. But since you want to calculate LAND's area, it is better to choose a side with a known length. "	-	-	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	"<%=ifThen(hasValue(question0a),""Enter the length of the parallelogram MILK's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram MILK's base here."")%>"	x	-	"<%=ifThen(hasValue(question0a),""Enter the length of the parallelogram's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram's base here."")%>"	-
%(494504154730622060)%	-	-	-	-	"45 sq. cm is the value of the area. Note that it's unit is ""sq. cm"" instead of just ""%(unt1)%""."	"96 sq. in is the value of the area. Note that it's unit is ""sq. in"" instead of just ""%(unt1)%""."	-	"The area (A) of the parallelogram SPIN can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"	"The area (A) of the parallelogram LAND can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"	-	-	"The label under ""Height"" is MN. Do you remember how long the segment MN is? Read the problem statement again if you forgot. "	-	"Re-read the question statement to find how long FR is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	-	"4.2 sq. mm is the value of the area. Note that it's unit is ""sq. mm"" instead of just ""%(unt1)%""."	-
%(-995997641175293918)%	-	A perimeter is the sum of the lengths of all sides on a geometry.	-	-	-	-	-	-	-	-	-	"Do you know how to find an area of the parallelogram? If you are not sure, try finding the formula in the glossary. "	Enter the value of parallelogram's area here. It is given in the statement for Question1.	"Open the glossary and search for ""Area - Parallelogram"" if you are not sure how to find area of a parallelogram."	-	-	-
%(5645093929203651144)%	-	"Re-read the question statement to find how long AE is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"Re-read the question statement to find how long FE is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"Re-read the question statement to find how long FA is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"Re-read the question statement to find how long RO is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""KL|LK"",question0a),concat(""The length of "",question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",question0a,"" is parallel to KL."")),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the base?"")%>"	"The label under ""Base of ABC"" is %(Ans1_a)%. Do you remember how long the segment %(Ans1_a)% is? Read the problem statement again if you are not sure. "	"Re-read the question statement to find how long SN is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""AN|NA"",question0a),concat(""The length of "",question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",question0a,"" is parallel to AN."")),""Your lazy partner measured only one side. This means, for your base, you will have to  use that side, or the side parallel to it. Which side is the one your partner measured?"")%>"	"The label under ""Base of SKW"" is %(Ans1_a)%. Do you remember how long the segment %(Ans1_a)% is? Read the problem statement again if you are not sure. "	"<%=ifThen(hasValue(question0a),""In Question1, the following is given: EV = 6.9 %(unt1)%!"",""As shown by the diagram, EV and %(Ans1_b)% are perpendicular. Which one is the base?"")%>"	"Re-read the question statement to find how long NT is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""LK|LK"",question0a),concat(""The length of "",question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",question0a,"" is parallel to LK."")),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the base?"")%>"	"Re-read the question statement to find how long RO is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(question0a),""In Question1, the following is given: HI = 8.5 %(unt1)%!"",""As shown by the diagram, HI and %(Ans1_b)% are perpendicular. Which one is the base?"")%>"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""ST|TS"",question0a),concat(""The length of "",question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",question0a,"" is parallel to ST."")),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the base?"")%>"	"Rhombus is a special parallelogram where all 4 of the sides have the same length. This means, if you know the length of 1 side, you will know the lengths of all 4 sides!"
%(-693712474793275334)%	-	-	-	-	"<%=ifThen(hasValue(question3b,question3c),""Start thinking with easy numbers. If '?' * '2' = 6, can you figure out what '?' is? You know that 3x2 is 6. You can also find '3' by diving 6 by 2! Division is an inverse operation of multiplication; think of division as 'undoing multiply'."",""In order to solve for the height, you need to know the height(h) and the area(A) first. Have you filled out the length of the base and the value of the area yet?"")%>"	"<%=ifThen(hasValue(question3b,question3c),""Start thinking with easy numbers. If '?' * '2' = 6, can you figure out what '?' is? You know that 3x2 is 6. You can also find '3' by diving 6 by 2! Division is an inverse operation of multiplication; think of division as 'undoing multiply'."",""In order to solve for the height, you need to know the height(h) and the area(A) first. Have you filled out the length of the base and the value of the area yet?"")%>"	-	"<%=ifThen(hasValue(question2a),ifThen(regExMatch(""SP|PS"",question2a),""The length of SP is given in the questions statement. Read it carefully to find out."",concat(""The length of "",question2a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram have the SAME length! Here is a hint: %(Base2_alt)% is parallel to SP."")),""As shown by the diagram, ST and SP are perpendicular. Which one is the base?"")%>"	"<%=ifThen(hasValue(question2a),ifThen(regExMatch(""AL|LA"",question2a),""The length of AL is given in the questions statement. Read it carefully the find out."",concat(""The length of "",question2a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram have the SAME length! Here is a hint: %(Base2_alt)% is parallel to AL."")),""Your lazy partner measured only one side. This means, for your base, you have to use that side, or the side parallel to it. Which side is the one your partner measured?"")%>"	-	-	"<%=ifThen(hasValue(question3b,question3d),""In the problem statement, lengths of the perimeter ( P = 40 cm) and the adjacent side (%(Ans1_b)% = %(Ans4_b)% cm) are given! Try subtracting 2 adjacent sides from the perimeter. What will remain?"",""Perimeter also needs the base to be calculated! Perimeter = 2*(base + adjacent). But looks like you are missing either the length of the adjacent side or the perimeter on this row!"")%>"	-	"Re-read the question statement to find how long RO is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	-	"<%=ifThen(hasValue(question3b,question3c),""Start thinking with easy numbers. If '?' * '2' = 6, can you figure out what '?' is? You know that 3x2 is 6. You can also find '3' by diving 6 by 2! Division is an inverse operation of multiplication; think of division as 'undoing multiply'."",""In order to solve for the height, you need to know the height(h) and the area(A) first. Have you filled out the length of the base and the value of the area yet?"")%>"	-
%(8105585789468547910)%	-	"The letter under AE's column is ""S"". Therefore %(Ans1_c)% is also ""%(Ans3_c)%"". Enter %(Ans3_c)% into the highlighted area."	"<%=ifThen(hasValue(question2a, question2b),""The expression for FIRE's perimeter is 'S+S+T+T'. Or, simply '2*(S+T)'."",""Fill in the expressions for FE and FI, then come back to this field!"")%>"	-	"Enter ROFL's area, 72."	"Enter JKLM's area, 24."	-	-	-	-	-	"<%=ifThen(hasValue(question2a,question2e),""Now do the same thing with 50(area) and 10(base); divide 50 by 10: 50/10 = %(Ans3_c)%."",""Fill in the length of the base and the value of the area, then come back to this field!"")%>"	"<%=ifThen(regExMatch(""LK|LK"",question0a),""The base (LK) is %(Ans2_a)% %(unit1word)% long. Enter %(Ans3_c)% into the highlighted area."",concat(""Question2 has given you %(trgtBase2)% = %(Ans3_c)%. Since "",question0c,"" is parallel to %(trgtBase2)%, "",question0c,"" = %(Ans3_c)% as well.""))%>"	"<%=ifThen(hasValue(question2d,question2e),concat(""Base #2 is perpendicular to height #2, which you entered as "",question0d,"". Solve for base #2 (FR) by dividing the length of height #2 by the area: 90/%(Ans3_d)% = %(Ans3_c)%.""),""Make sure both the length of the height and the value of the area is filled before coming back to this field!"")%>"	-	"Enter SALT's area, 3.4."	-
%(5007282996963236861)%	-	-	-	-	-	-	-	-	-	-	-	-	-	"Having trouble finding the height perpendicular to base #2 (FR)? Sometimes, heights are displayed outside of the parallelogram, and can be confusing. When this happens, a dotted line is used to get the height to be connected with a base."	-	-	-
%(-3741765123324482718)%	-	"Take a look at the diagram label of this column, or under ""Side adjacent to the base"". The label for the segment adjacent to the base is displayed as AB. Enter the length of AB."	"Take a look at the diagram label of this column, or under ""Side adjacent to the base"". The label for the segment adjacent to the base is displayed as FI. Enter the length of FI."	"Take a look at the diagram label of this column, or under ""Height of LEAF"". What is the name or the label of the segment that represents the height?"	"Take a look at the diagram label of this column, or under ""Height of ROFL"". What is the name or the label of the segment that represents the height?"	"<%=ifThen(hasValue(question0b),""What is the label of the height segment you entered right under 'Height of JKLM'?"",""You have not entered the label for your height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	"Take a look at the diagram label of this column, or under ""Height of ABC"". What is the name or label of the segment that represents the height?"	"Take a look at the diagram label of this column, or under ""Only known Height for SPIN"". What is the name or the label of the segment that represents the height?"	"<%=ifThen(hasValue(question0b),""What is the label of the height segment you entered right under 'Height of LAND'?"",""You have not entered the label for your height yet. Remember that, in this problem, you have two heights! Which height is perpendicular to the base with a known length?"")%>"	"<%=ifThen(hasValue(question0b),""What is the label of the height segment you entered right under 'Height of SKW'?"",""You have not entered the label for your height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	"<%=ifThen(hasValue(question0b),""What is the label of the height segment you entered right under 'Height of EVO'?"",""You have not entered the label for your height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	"Take a look at the diagram label of this column, or under ""Side adjacent to the base"". The label for the segment adjacent to the base is displayed as NE. Enter the length of NE."	"<%=ifThen(hasValue(question0b),""What is the label of MILK's height segment you entered right under 'Height of MILK'?"",""You have not entered the label for MILK's height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	"<%=ifThen(hasValue(question0b),""What is the label of the height segment you entered right under 'Height #1 (perpend. to base 1)'?"",""You have not entered the label for your height #1 yet. If you don't know which segment is the height #1, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	"<%=ifThen(hasValue(question0b),""What is the label of the height segment you entered right under 'Height of GHI'?"",""You have not entered the label for your height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	"<%=ifThen(hasValue(question0b),""What is the label of the height segment you entered right under 'Height of SALT'?"",""You have not entered the label for your height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	"Take a look at the diagram label of this column, or under ""Height of RHOM"". What is the name or the label of the segment that represents the height?"
