Problem Name	00intro	01triangle	02soccer	03map	04triangle	05a_park	05b_park	05c_park	06triangle	07triangle	08airplane	09boat	10a_city	10b_city	10c_city	11park
%(a-h1)%	-	"In this area, enter the length of leg 'a'."	"In this area, enter the distance between Kate and Stacy."	"Choose and enter the length of one of the 2 legs of the right triangle. Don't worry about choosing the ""correct"" leg. The Pythagorean theorem is not strict on how you choose them."	"<%=ifThen(hasValue(aa,bb,cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the length of leg 'a'."")%>"	"Choose and enter the length of one of the 2 legs of the right triangle. Don't worry about choosing the ""correct"" leg. The Pythagorean theorem is not strict on how you choose them."	"<%=ifThen(hasValue(aa,bb,cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the distance Sam walked due east."")%>"	"In this area, enter the distance Sam walked due east."	"Choose and enter the length of one of the 2 legs of the right triangle. Don't worry about choosing the ""correct"" leg. The Pythagorean theorem is not strict on how you choose them."	"In this area, enter the length of leg 'a'."	"In this area, enter the distance from the airport to my house."	"<%=ifThen(hasValue(aa,bb,cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the drifting distance."")%>"	"Choose and enter the length of one of the 2 legs of the right triangle. Don't worry about choosing the ""correct"" leg. The Pythagorean theorem is not strict on how you choose them."	"<%=ifThen(hasValue(aa,bb,cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the distance driven on Cochran Blvd.."")%>"	"In this area, enter the distance driven on Cochran Blvd.."	"In this area, enter the total distance to walk east. What information is given in this question?"
%(a-h2)%	-	What information is given in this question? Is the length of leg 'a' given in the question?	What information is given in this question? Is the distance between Kate and Stacy given in the question?	What information is given in this question? Try to imagine the shape of the right triangle that forms according to the scenario. Which sides are the legs?	"<%=ifThen(hasValue(aa,bb,cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of leg 'a' given? NO! You must solve for it. What method can you use?"")%>"	What information is given in this question? Try to imagine the shape of the right triangle that forms according to the scenario. Which sides are the legs?	"<%=ifThen(hasValue(aa,bb,cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the distance Sam walked due east given in the question? NO! You must solve for it. What method can you use?"")%>"	What information is given in this question? Is the distance Sam walked due east given in the question?	What information is given in this question? Try to imagine the shape of the right triangle that forms according to the scenario. Which sides are the legs?	What information is given in this question? Is the length of leg 'a' given in the question?	What information is given in this question? Is the distance from the airport to my house given in the question?	"<%=ifThen(hasValue(aa,bb,cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the drifting distance given? NO! You must solve for it. What method can you use?"")%>"	What information is given in this question? Try to imagine the shape of the right triangle that forms according to the scenario. Which sides are the legs?	"<%=ifThen(hasValue(aa,bb,cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the distance driven on Cochran Blvd. given? NO! You must solve for it. What method can you use?"")%>"	What information is given in this question? Is the distance driven on Cochran Blvd. given in the question?	"The diagram is NOT a right triangle, but you can still find the length of the hypotenuse, if you can identify the right triangle that would have such hypotenuse. "
%(a-h3)%	-	Yes it is given. Read the question again carefully. 	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(q1b),ifThen(expressionMatches(60,q1b),""Looks like you already entered the distance between the palm tree and the treasure (60 yd) as leg 'b'. So you should enter the length of the other leg into the highlighted area."", ""Looks like you already entered the distance between the cave and the palm tree (63 yd) as leg 'b'. So you should enter the length of the other leg into the highlighted area.""),""Two legs that are given in this problem are: the distance between the cave and the palm tree (63 yd), and the distance between the palm tree and the treasure (60 yd). Choose the one you want and enter its length."")%>"	"<%=ifThen(hasValue(aa,bb,cc),""You used the worksheet to solve for one of the leg that was not given in the question. Get the length of this unknown leg by taking the square root of '25 sq. cm' (the term you solved for)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	"<%=ifThen(hasValue(q1b),ifThen(expressionMatches(24,q1b),""Looks like you already entered the distance Sam walked due north (24 km) as leg 'b'. So you should enter the length of the other leg into the highlighted area."", ""Looks like you already entered the distance Sam walked due east (10 km) as leg 'b'. So you should enter the length of the other leg into the highlighted area.""),""Two legs that are given in this problem are: the distance Sam walked due east (10 km), and the distance Sam walked due north (24 km). Choose the one you want and enter its length."")%>"	"<%=ifThen(hasValue(aa,bb,cc),""You used the worksheet to solve for one of the leg that was not given in the question. Get the length of this unknown leg by taking the square root of '56.25 sq. km' (the term you solved for)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(q1b),ifThen(expressionMatches(1.5,q1b),""Looks like you already entered the length of leg 'b' (1.5 mm) as leg 'b'. So you should enter the length of the other leg into the highlighted area."", ""Looks like you already entered the length of leg 'a' (2 mm) as leg 'b'. So you should enter the length of the other leg into the highlighted area.""),""Two legs that are given in this problem are: the length of leg 'a' (2 mm), and the length of leg 'b' (1.5 mm). Choose the one you want and enter its length."")%>"	Yes it is given. Read the question again carefully. 	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(aa,bb,cc),""You used the worksheet to solve for one of the leg that was not given in the question. Get the length of this unknown leg by taking the square root of '1764 sq. ft' (the term you solved for)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	"<%=ifThen(hasValue(q1b),ifThen(expressionMatches(4,q1b),""Looks like you already entered the distance driven on Elm St. (4 km) as leg 'b'. So you should enter the length of the other leg into the highlighted area."", ""Looks like you already entered the distance driven on Cochran Blvd. (3 km) as leg 'b'. So you should enter the length of the other leg into the highlighted area.""),""Two legs that are given in this problem are: the distance driven on Cochran Blvd. (3 km), and the distance driven on Elm St. (4 km). Choose the one you want and enter its length."")%>"	"<%=ifThen(hasValue(aa,bb,cc),""You used the worksheet to solve for one of the leg that was not given in the question. Get the length of this unknown leg by taking the square root of '6.25 sq. km' (the term you solved for)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	Yes it is given. Read the question again carefully. 	Try to think how that diagram would have looked if the original path made a right triangle instead. What is the total distance you would walk in the direction of east?
%(a-h4)%	-	Enter 6 into the highlighted area.	Enter 14 into the highlighted area.	"<%=ifThen(hasValue(q1b),ifThen(expressionMatches(60,q1b),""The other leg given in the problem is the distance between the cave and the palm tree (63 yd)."",""The other leg given in the problem is the distance between the palm tree and the treasure (60 yd).""),""Why don't you try choosing the distance between the cave and the palm tree (63 yd) as your leg 'a'?"")%>"	"<%=ifThen(hasValue(aa,bb,cc),""Take the square root by entering the following expression into the highlighted box: |25. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the unknown leg. If you need more help, try asking for the hints when you are on the worksheet."")%>"	"<%=ifThen(hasValue(q1b),ifThen(expressionMatches(24,q1b),""The other leg given in the problem is the distance Sam walked due east (10 km)."",""The other leg given in the problem is the distance Sam walked due north (24 km).""),""Why don't you try choosing the distance Sam walked due east (10 km) as your leg 'a'?"")%>"	"<%=ifThen(hasValue(aa,bb,cc),""Take the square root by entering the following expression into the highlighted box: |56.25. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the unknown leg. If you need more help, try asking for the hints when you are on the worksheet."")%>"	Enter 4 into the highlighted area.	"<%=ifThen(hasValue(q1b),ifThen(expressionMatches(1.5,q1b),""The other leg given in the problem is the length of leg 'a' (2 mm)."",""The other leg given in the problem is the length of leg 'b' (1.5 mm).""),""Why don't you try choosing the length of leg 'a' (2 mm) as your leg 'a'?"")%>"	Enter 15 into the highlighted area.	Enter 24 into the highlighted area.	"<%=ifThen(hasValue(aa,bb,cc),""Take the square root by entering the following expression into the highlighted box: |1764. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the unknown leg. If you need more help, try asking for the hints when you are on the worksheet."")%>"	"<%=ifThen(hasValue(q1b),ifThen(expressionMatches(4,q1b),""The other leg given in the problem is the distance driven on Cochran Blvd. (3 km)."",""The other leg given in the problem is the distance driven on Elm St. (4 km).""),""Why don't you try choosing the distance driven on Cochran Blvd. (3 km) as your leg 'a'?"")%>"	"<%=ifThen(hasValue(aa,bb,cc),""Take the square root by entering the following expression into the highlighted box: |6.25. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the unknown leg. If you need more help, try asking for the hints when you are on the worksheet."")%>"	Enter 12 into the highlighted area.	"First horizontal path is 2 yard long, and the second path is 3 yards long. Therefore, the total distance of the horizontal path (walking east) is: 2 + 3&nbsp;= 5 yards. "
%(b-h1)%	-	"In this area, enter the length of leg 'b'."	"In this area, enter the distance between Kate and Erika."	"Choose and enter the length of one of the 2 legs of the right triangle. Don't worry about choosing the ""correct"" leg. The Pythagorean theorem is not strict on how you choose them."	"In this area, enter the length of leg 'b'."	"Choose and enter the length of one of the 2 legs of the right triangle. Don't worry about choosing the ""correct"" leg. The Pythagorean theorem is not strict on how you choose them."	"In this area, enter the distance Sam walked due north."	"<%=ifThen(hasValue(aa,bb,cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the distance Sam walked due north."")%>"	"Choose and enter the length of one of the 2 legs of the right triangle. Don't worry about choosing the ""correct"" leg. The Pythagorean theorem is not strict on how you choose them."	"<%=ifThen(hasValue(aa,bb,cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the length of leg 'b'."")%>"	"<%=ifThen(hasValue(aa,bb,cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the distance from the plane to my house."")%>"	"In this area, enter the depth of the lake."	"Choose and enter the length of one of the 2 legs of the right triangle. Don't worry about choosing the ""correct"" leg. The Pythagorean theorem is not strict on how you choose them."	"In this area, enter the distance driven on Elm St.."	"<%=ifThen(hasValue(aa,bb,cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the distance driven on Elm St.."")%>"	"In this area, enter the total distance to walk south. What information is given in this question?"
%(b-h2)%	-	What information is given in this question? Is the length of leg 'b' given in the question?	What information is given in this question? Is the distance between Kate and Erika given in the question?	What information is given in this question? Try to imagine the shape of the right triangle that forms according to the scenario. Which sides are the legs?	What information is given in this question? Is the length of leg 'b' given in the question?	What information is given in this question? Try to imagine the shape of the right triangle that forms according to the scenario. Which sides are the legs?	What information is given in this question? Is the distance Sam walked due north given in the question?	"<%=ifThen(hasValue(aa,bb,cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the distance Sam walked due north given in the question? NO! You must solve for it. What method can you use?"")%>"	What information is given in this question? Try to imagine the shape of the right triangle that forms according to the scenario. Which sides are the legs?	"<%=ifThen(hasValue(aa,bb,cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of leg 'b' given in the question? NO! You must solve for it. What method can you use?"")%>"	"<%=ifThen(hasValue(aa,bb,cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the distance from the plane to my house given in the question? NO! You must solve for it. What method can you use?"")%>"	What information is given in this question? Is the depth of the lake given in the question?	What information is given in this question? Try to imagine the shape of the right triangle that forms according to the scenario. Which sides are the legs?	What information is given in this question? Is the distance driven on Elm St. given in the question?	"<%=ifThen(hasValue(aa,bb,cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the distance driven on Elm St. given in the question? NO! You must solve for it. What method can you use?"")%>"	"The diagram is NOT a right triangle, but you can still find the length of the hypotenuse, if you can identify the right triangle that would have such hypotenuse. "
%(b-h3)%	-	Yes it is given. Read the question again carefully. 	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(q1a),ifThen(expressionMatches(63,q1a),""Looks like you already entered the distance between the cave and the palm tree (63 yd) as leg 'a'. So you should enter the length of the other leg into the highlighted area."",""Looks like you already entered the distance between the palm tree and the treasure (60 yd) as leg 'a'. So you should enter the length of the other leg into the highlighted area.""),""Two legs that are given in this problem are: the distance between the cave and the palm tree (63 yd), and the distance between the palm tree and the treasure (60 yd). Choose the one you want and enter its length."")%>"	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(q1a),ifThen(expressionMatches(10,q1a),""Looks like you already entered the distance Sam walked due east (10 km) as leg 'a'. So you should enter the length of the other leg into the highlighted area."",""Looks like you already entered the distance Sam walked due north (24 km) as leg 'a'. So you should enter the length of the other leg into the highlighted area.""),""Two legs that are given in this problem are: the distance Sam walked due east (10 km), and the distance Sam walked due north (24 km). Choose the one you want and enter its length."")%>"	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(aa,bb,cc),""You used the worksheet to solve for one of the leg that was not given in the question. Get the length of this unknown leg by taking the square root of '9 sq. km' (the term you solved for)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	"<%=ifThen(hasValue(q1a),ifThen(expressionMatches(2,q1a),""Looks like you already entered the length of leg 'a' (2 mm) as leg 'a'. So you should enter the length of the other leg into the highlighted area."",""Looks like you already entered the length of leg 'b' (1.5 mm) as leg 'a'. So you should enter the length of the other leg into the highlighted area.""),""Two legs that are given in this problem are: the length of leg 'a' (2 mm), and the length of leg 'b' (1.5 mm). Choose the one you want and enter its length."")%>"	"<%=ifThen(hasValue(aa,bb,cc),""You used the worksheet to solve for one of the leg that was not given in the question. Get the length of this unknown leg by taking the square root of '64 sq. in' (the term you solved for)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	"<%=ifThen(hasValue(aa,bb,cc),""You used the worksheet to solve for one of the leg that was not given in the question. Get the length of this unknown leg by taking the square root of '49 sq. mi' (the term you solved for)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(q1a),ifThen(expressionMatches(3,q1a),""Looks like you already entered the distance driven on Cochran Blvd. (3 km) as leg 'a'. So you should enter the length of the other leg into the highlighted area."",""Looks like you already entered the distance driven on Elm St. (4 km) as leg 'a'. So you should enter the length of the other leg into the highlighted area.""),""Two legs that are given in this problem are: the distance driven on Cochran Blvd. (3 km), and the distance driven on Elm St. (4 km). Choose the one you want and enter its length."")%>"	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(aa,bb,cc),""You used the worksheet to solve for one of the leg that was not given in the question. Get the length of this unknown leg by taking the square root of '25 sq. km' (the term you solved for)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	Try to think how that diagram would have looked if the original path made a right triangle instead. What is the total distance you would walk in the direction of east?
%(b-h4)%	-	Enter 8 into the highlighted area.	Enter 22.5 into the highlighted area.	"<%=ifThen(hasValue(q1a),ifThen(expressionMatches(63,q1a),""The other leg given in the problem is the distance between the palm tree and the treasure (60 yd)."",""The other leg given in the problem is the distance between the cave and the palm tree (63 yd).""),""Why don't you try choosing the distance between the palm tree and the treasure (60 yd) as your leg 'b'?"")%>"	Enter 12 into the highlighted area.	"<%=ifThen(hasValue(q1a),ifThen(expressionMatches(10,q1a),""The other leg given in the problem is the distance Sam walked due north (24 km)."",""The other leg given in the problem is the distance Sam walked due east (10 km).""),""Why don't you try choosing the distance Sam walked due north (24 km) as your leg 'b'?"")%>"	Enter 4 into the highlighted area.	"<%=ifThen(hasValue(aa,bb,cc),""Take the square root by entering the following expression into the highlighted box: |9. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the unknown leg. If you need more help, try asking for the hints when you are on the worksheet."")%>"	"<%=ifThen(hasValue(q1a),ifThen(expressionMatches(2,q1a),""The other leg given in the problem is the length of leg 'b' (1.5 mm)."",""The other leg given in the problem is the length of leg 'a' (2 mm).""),""Why don't you try choosing the length of leg 'b' (1.5 mm) as your leg 'b'?"")%>"	"<%=ifThen(hasValue(aa,bb,cc),""Take the square root by entering the following expression into the highlighted box: |64. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the unknown leg. If you need more help, try asking for the hints when you are on the worksheet."")%>"	"<%=ifThen(hasValue(aa,bb,cc),""Take the square root by entering the following expression into the highlighted box: |49. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the unknown leg. If you need more help, try asking for the hints when you are on the worksheet."")%>"	Enter 40 into the highlighted area.	"<%=ifThen(hasValue(q1a),ifThen(expressionMatches(3,q1a),""The other leg given in the problem is the distance driven on Elm St. (4 km)."",""The other leg given in the problem is the distance driven on Cochran Blvd. (3 km).""),""Why don't you try choosing the distance driven on Elm St. (4 km) as your leg 'b'?"")%>"	Enter 6 into the highlighted area.	"<%=ifThen(hasValue(aa,bb,cc),""Take the square root by entering the following expression into the highlighted box: |25. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the unknown leg. If you need more help, try asking for the hints when you are on the worksheet."")%>"	"First vertical path is 6 yard long, and the second path is 3 yards long. Therefore, the total distance of the vertical path (walking south) is: 6 + 3&nbsp;= 9 yards."
%(c-h1)%	-	"<%=ifThen(hasValue(cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the length of the hypotenuse."")%>"	"<%=ifThen(hasValue(cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the length of the hypotenuse."")%>"	"<%=ifThen(hasValue(cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the length of the hypotenuse."")%>"	"In this area, enter the length of hypotenuse 'c'."	"<%=ifThen(hasValue(cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the length of the hypotenuse."")%>"	"In this area, enter the distance Sam ran to get back to her car."	"In this area, enter the distance Sam ran to get back to her car."	"<%=ifThen(hasValue(cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the length of the hypotenuse."")%>"	"In this area, enter the length of hypotenuse 'c'."	"In this area, enter the distance from the plane to the airport."	"In this area, enter the length of the anchor chain."	"<%=ifThen(hasValue(cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the length of the hypotenuse."")%>"	"In this area, enter the distance driven on Lauria Way."	"In this area, enter the distance driven on Lauria Way."	"<%=ifThen(hasValue(cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the length of the hypotenuse."")%>"
%(c-h2)%	-	"<%=ifThen(hasValue(cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of the hypotenuse given in the question? No! You must solve for the hypotenuse. What method can you use?"")%>"	"<%=ifThen(hasValue(cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of the hypotenuse given in the question? No! You must solve for the hypotenuse. What method can you use?"")%>"	"<%=ifThen(hasValue(cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of the hypotenuse given in the question? No! You must solve for the hypotenuse. What method can you use?"")%>"	What information is given in this question? Is the length of hypotenuse 'c' given in the question?	"<%=ifThen(hasValue(cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of the hypotenuse given in the question? No! You must solve for the hypotenuse. What method can you use?"")%>"	What information is given in this question? Is the distance Sam ran to get back to her car given in the question?	What information is given in this question? Is the distance Sam ran to get back to her car given in the question?	"<%=ifThen(hasValue(cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of the hypotenuse given in the question? No! You must solve for the hypotenuse. What method can you use?"")%>"	What information is given in this question? Is the length of hypotenuse 'c' given in the question?	What information is given in this question? Is the distance from the plane to the airport given in the question?	What information is given in this question? Is the length of the anchor chain given in the question?	"<%=ifThen(hasValue(cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of the hypotenuse given in the question? No! You must solve for the hypotenuse. What method can you use?"")%>"	What information is given in this question? Is the distance driven on Lauria Way given in the question?	What information is given in this question? Is the distance driven on Lauria Way given in the question?	"<%=ifThen(hasValue(cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of the hypotenuse given in the question? No! You must solve for the hypotenuse. What method can you use?"")%>"
%(c-h3)%	-	"<%=ifThen(hasValue(cc),""You used the worksheet to solve for the hypotenuse. Get the length of the hypotenuse by taking the square root of 'c^2' (100 square feet)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	"<%=ifThen(hasValue(cc),""You used the worksheet to solve for the hypotenuse. Get the length of the hypotenuse by taking the square root of 'c^2' (702.25 square feet)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	"<%=ifThen(hasValue(cc),""You used the worksheet to solve for the hypotenuse. Get the length of the hypotenuse by taking the square root of 'c^2' (7569 square yards)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(cc),""You used the worksheet to solve for the hypotenuse. Get the length of the hypotenuse by taking the square root of 'c^2' (676 square kilometers)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	Yes it is given. Read the question again carefully. 	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(cc),""You used the worksheet to solve for the hypotenuse. Get the length of the hypotenuse by taking the square root of 'c^2' (6.25 square milimeters)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	Yes it is given. Read the question again carefully. 	Yes it is given. Read the question again carefully. 	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(cc),""You used the worksheet to solve for the hypotenuse. Get the length of the hypotenuse by taking the square root of 'c^2' (25 square kilometers)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	Yes it is given. Read the question again carefully. 	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(cc),""You used the worksheet to solve for the hypotenuse. Get the length of the hypotenuse by taking the square root of 'c^2' (106 square yards)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"
%(c-h4)%	-	"<%=ifThen(hasValue(cc),""Take the square root by entering the following expression into the highlighted area: |100. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the third, unknown side. If you need more help, try asking for the hints when you are on the worksheet."")%>"	"<%=ifThen(hasValue(cc),""Take the square root by entering the following expression into the highlighted area: |702.25. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the third, unknown side. If you need more help, try asking for the hints when you are on the worksheet."")%>"	"<%=ifThen(hasValue(cc),""Take the square root by entering the following expression into the highlighted area: |7569. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the third, unknown side. If you need more help, try asking for the hints when you are on the worksheet."")%>"	Enter 13 into the highlighted area.	"<%=ifThen(hasValue(cc),""Take the square root by entering the following expression into the highlighted area: |676. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the third, unknown side. If you need more help, try asking for the hints when you are on the worksheet."")%>"	Enter 8.5 into the highlighted area.	Enter 5 into the highlighted area.	"<%=ifThen(hasValue(cc),""Take the square root by entering the following expression into the highlighted area: |6.25. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the third, unknown side. If you need more help, try asking for the hints when you are on the worksheet."")%>"	Enter 17 into the highlighted area.	Enter 25 into the highlighted area.	Enter 58 into the highlighted area.	"<%=ifThen(hasValue(cc),""Take the square root by entering the following expression into the highlighted area: |25. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the third, unknown side. If you need more help, try asking for the hints when you are on the worksheet."")%>"	Enter 6.5 into the highlighted area.	Enter 13 into the highlighted area.	"<%=ifThen(hasValue(cc),""Take the square root by entering the following expression into the highlighted area: |106. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the third, unknown side. If you need more help, try asking for the hints when you are on the worksheet."")%>"
